id	page No.	title	romanlized	google translated	duration
1	2	ကောင်းသော ည တစ်ညပိုင်း	koငya”so ñña tacyaññapiုငya”	Good night	
2	2	ပစ္စက္ခဉာဏ်နှင့် အနွယဉာဏ်အကြောင်း	paccakkhañāṇyanaှင’ya anhayañāṇyaakaြောငya”	About physical and mental intelligence	0
3	2	ဥပနိသသုတ္တန် ကောက်နုတ်ချက်	upanisasuttanya kokyanutyakhaျkya	Excerpt from Upanishads	4
4	6	အနုဿ၀ နှင့် အာကာရပရိဝိတက္က	anussa0 naှင’ya ākāraparivitakka	Anusava and Akara Parivitaka	1
5	7	ပစ္စက္ခဉာဏ်	paccakkhañāṇya	Physical Wisdom	1
6	8	ဥပါဒါနက္ခန္ဓာ ဟူသည်	upādānakkhandhā hūsaññya	It is the sub-element	1
7	9	ဣတိ ရူပံ - ဣတိ ဝေဒနာ . . .	iti rūpaṃ - iti vedanā . . .	Iti Rupan - Iti Vedana. . .	3
8	12	ဣတိ ရူပဿ သမုဒယော ။ ပ ။ ဣတိ ဝိညာဏဿ သမုဒယော . . .	iti rūpassa samudayo ． pa ． iti viññāṇassa samudayo . . .	Iti Rupatsa Samudayo. ပ. Iti spiritual consciousness. . .	1
9	13	ရူပက္ခန္ဓာ၏ သမုဒယကို ရှုပုံ	rūpakkhandhā၏ samudayakiု raှုpuṃ	How to view the cosmos of the physical body	1
10	14	ပဋိသမ္ဘိဒါမဂ္ဂပါဠိတော် ကောက်နုတ်ချက် အတိတ်အကြောင်းတရား ငါးပါး	paṭisambhidāmaggapāḷitoya kokyanutyakhaျkya atityaakaြောငya”tarā” ငါ”pā”	Excerpts from the past	1
11	15	ပစ္စုပ္ပန်အကျိုးတရား ငါးပါး	paccuppanyaakaျို”tarā” ငါ”pā”	Five present benefits	1
12	16	ပစ္စုပ္ပန်အကြောင်းတရား ငါးပါး	paccuppanyaakaြောငya”tarā” ငါ”pā”	Five reasons for the present	0
13	16	အနာဂတ်အကျိုးတရား ငါးပါး	anāgatyaakaျို”tarā” ငါ”pā”	Five Future Benefits	1
14	17	အဓွန့်ကာလ သတ်မှတ်ပုံ	adhhana’yakāla satyamaှtyapuṃ	How to determine the duration	0
15	17	ဧကဒေသတော ဇာနိတဗ္ဗံ	ekadesato jānitabbaṃ	Ekadetaw Zanitabba	1
16	18	ယင်းသို့ သိနိုင် မြင်နိုင်ပါ့မလား¿	yaငya”siု’ siniုငya maြငyaniုငyapā’malā”¿	Can you see that?	1
17	19	နိဗ္ဗတ္တိ ပဿိတဗ္ဗာ	nibbatti passitabbā	Nibbatti Pasitabba	1
18	20	ရှုကွက်အတိုချုပ် ညွှန်ကြားချက်	raှုkhakyaatiုkhaျုpya ññhaှnyakaြာ”khaျkya	Summary Instructions	2
19	22	မည်ကဲ့သို့သော ကံပါနည်း	maññyakaဲ’siု’so kaṃpānaññya”	What kind of luck?	2
20	24	ခေတ္တရပ်နား၍ စဉ်းစားကြည့်ပါ	khettarapyanā”၍ cañya”cā”kaြñña’yapā	Pause and think	1
21	25	အနွယဉာဏ်ဖြင့် အတိတ် အနာဂတ်၌ ရှုပုံ	anhayañāṇyaphaြင’ya atitya anāgatya၌ raှုpuṃ	An Intuitive Perspective on the Past and the Future	2
22	27	တိုက်တွန်းချက်	tiုkyathanya”khaျkya	Recommendation	1
23	28	ပဋိသမ္ဘိဒါမဂ္ဂပါဠိတော် ကောက်နုတ်ချက်	paṭisambhidāmaggapāḷitoya kokyanutyakhaျkya	Excerpt from the Pali Canon	1
24	29	လိုရင်းမှတ်သားရန်	liုraငya”maှtyasā”ranya	Note:	2
